trim3 reads
P01-01-E-n03_fun_fwd-n04_fun_rev 25
P01-01-D-n03_fun_fwd-n03_fun_rev 1717
P01-01-G-n06_gi_fwd-n08_gi_rev 1
P01-01-F-n09_gi_fwd-n10_gi_rev 1
P01-01-C-n06_gi_fwd-n06_gi_rev 731
P01-01-H-n08_gi_fwd-n09_gi_rev 3
P01-01-G-n04_fun_fwd-n05_fun_rev 7
P01-01-F-n04_fun_fwd-n02_fun_rev 1
P01-01-B-n06_fun_fwd-n05_fun_rev 62
P01-01-D-n09_gi_fwd-n09_gi_rev 75
P01-01-H-n06_gi_fwd-n04_fun_rev 1
P01-01-C-n04_fun_fwd-n06_fun_rev 1
P01-01-F-n06_fun_fwd-n06_fun_rev 2710
P01-01-G-n06_fun_fwd-n01_fun_rev 1
P01-02-A-n03_fun_fwd-n03_fun_rev 3
P01-01-G-n07_gi_fwd-n07_gi_rev 24
P01-01-C-n05_fun_fwd-n04_fun_rev 50
P01-01-B-n05_fun_fwd-n03_fun_rev 1
P01-01-F-n05_gi_fwd-n07_gi_rev 13
P01-01-B-n06_fun_fwd-n04_fun_rev 1
P01-01-G-n06_gi_fwd-n06_gi_rev 277
P01-01-B-n09_gi_fwd-n04_fun_rev 1
P01-01-F-n04_fun_fwd-n03_fun_rev 119
P01-01-G-n04_fun_fwd-n04_fun_rev 428
P01-01-C-n06_gi_fwd-n08_gi_rev 1
P01-01-B-n09_gi_fwd-n10_gi_rev 1
P01-01-H-n08_gi_fwd-n07_gi_rev 3
P01-01-H-n02_fun_fwd-n04_fun_rev 1
P01-02-D-n07_gi_fwd-n07_gi_rev 1
P01-01-B-n06_gi_fwd-n05_gi_rev 2
P01-01-D-n03_fun_fwd-n02_fun_rev 24
P01-01-E-n03_fun_fwd-n05_fun_rev 1
P01-01-B-n07_fun_fwd-n06_fun_rev 3
P01-01-G-n05_fun_fwd-n06_fun_rev 6
P01-01-D-n08_gi_fwd-n08_gi_rev 601
P01-01-B-n05_fun_fwd-n02_fun_rev 1
P01-01-C-n05_fun_fwd-n05_fun_rev 3291
P01-01-F-n06_fun_fwd-n07_fun_rev 12
P01-01-H-n08_gi_fwd-n04_fun_rev 1
P01-02-B-n04_fun_fwd-n04_fun_rev 3
P01-01-B-n05_gi_fwd-n07_gi_rev 8
P01-01-C-n07_gi_fwd-n07_gi_rev 196
P01-01-H-n09_gi_fwd-n08_gi_rev 3
P01-01-A-n02_fun_fwd-n04_fun_rev 5
P01-01-G-n07_gi_fwd-n06_gi_rev 2
P01-01-F-n06_fun_fwd-n04_fun_rev 3
P01-01-H-n09_gi_fwd-n07_gi_rev 1
P01-01-F-n05_gi_fwd-n06_gi_rev 12
P01-01-F-n10_gi_fwd-n09_gi_rev 2
P01-01-B-n04_fun_fwd-n03_fun_rev 9
P01-01-C-n07_gi_fwd-n08_gi_rev 25
P01-01-C-n04_fun_fwd-n04_fun_rev 3668
P01-01-D-n08_gi_fwd-n07_gi_rev 7
P01-01-F-n07_fun_fwd-n06_fun_rev 3
P01-01-C-n05_fun_fwd-n06_fun_rev 11
P01-02-B-n05_fun_fwd-n05_fun_rev 3
P01-01-D-n01_fun_fwd-n05_fun_rev 1
P01-01-A-n03_fun_fwd-n05_fun_rev 1
P01-01-B-n07_fun_fwd-n05_fun_rev 1
P01-01-D-n09_gi_fwd-n08_gi_rev 3
P01-01-F-n05_fun_fwd-n02_fun_rev 1
P01-01-G-n05_fun_fwd-n05_fun_rev 633
P01-01-D-n03_fun_fwd-n01_fun_rev 1
P01-01-F-n06_gi_fwd-n04_gi_rev 1
P01-01-D-n02_fun_fwd-n03_fun_rev 5
P01-01-G-n06_gi_fwd-n09_gi_rev 1
P01-01-E-n02_fun_fwd-n04_fun_rev 1
P01-01-B-n06_fun_fwd-n07_fun_rev 10
P01-01-H-n08_gi_fwd-n08_gi_rev 123
P01-01-C-n06_gi_fwd-n07_gi_rev 32
P01-01-B-n10_gi_fwd-n09_gi_rev 3
P01-01-B-n05_gi_fwd-n06_gi_rev 24
P01-01-G-n07_gi_fwd-n08_gi_rev 7
P01-01-A-n03_fun_fwd-n04_fun_rev 14
P01-01-H-n09_gi_fwd-n09_gi_rev 125
P01-01-C-n07_gi_fwd-n06_gi_rev 2
P01-01-E-n01_fun_fwd-n03_fun_rev 1
P01-01-D-n01_fun_fwd-n04_fun_rev 1
