sample input filtered denoised.fwd denoised.rev merged
P01-01-H-n06_fun_fwd-n06_fun_rev 153 145 145 135 130
P01-01-H-n06_gi_fwd-n06_gi_rev 315 311 NA NA NA
P01-01-H-n06_gi_fwd-n07_gi_rev 27 27 NA NA NA
P01-01-H-n06_gi_fwd-n08_gi_rev 2 2 NA NA NA
P01-01-H-n07_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-H-n07_gi_fwd-n05_gi_rev 1 1 NA NA NA
P01-01-H-n07_gi_fwd-n07_gi_rev 163 161 NA NA NA
P01-01-H-n07_gi_fwd-n08_gi_rev 6 6 NA NA NA
P01-01-H-n08_gi_fwd-n07_gi_rev 3 3 NA NA NA
P01-01-H-n08_gi_fwd-n08_gi_rev 120 118 NA NA NA
P01-01-H-n08_gi_fwd-n09_gi_rev 3 3 NA NA NA
P01-01-H-n09_gi_fwd-n07_gi_rev 1 1 NA NA NA
P01-01-H-n09_gi_fwd-n08_gi_rev 2 2 NA NA NA
P01-01-H-n09_gi_fwd-n09_gi_rev 123 122 NA NA NA
P01-01-H-n09_gi_fwd-n10_gi_rev 1 1 NA NA NA
P01-02-A-n03_fun_fwd-n03_fun_rev 3 2 2 2 2
P01-02-A-n04_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-02-A-n05_fun_fwd-n05_fun_rev 1 1 1 1 0
P01-02-A-n06_gi_fwd-n06_gi_rev 1 1 NA NA NA
P01-02-A-n08_gi_fwd-n08_gi_rev 1 1 NA NA NA
P01-02-B-n04_fun_fwd-n04_fun_rev 3 1 1 1 1
P01-02-B-n05_fun_fwd-n05_fun_rev 3 2 2 2 2
P01-02-C-n03_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-02-C-n04_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-02-C-n05_fun_fwd-n05_fun_rev 2 2 2 2 1
P01-02-D-n03_fun_fwd-n03_fun_rev 1 1 1 1 0
P01-02-D-n04_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-02-D-n07_gi_fwd-n07_gi_rev 1 1 NA NA NA
P01-02-D-n09_gi_fwd-n09_gi_rev 1 0 NA NA NA
